wav	flux
0.3562	0.00053426018
0.3574	0.00032009348999999997
0.3586	0.00027809807999999996
0.3598	0.0005927802099999999
0.361	0.000444934
0.3622	0.00064707045
0.3634	0.00061968047
0.3646	0.00089292649
0.3658	0.002014896
0.367	0.0017890963
0.3682	0.0010372994000000001
0.3694	0.0016492829
0.3706	0.0009482754
0.3718	0.0007035139
0.373	0.00045876285000000006
0.3742	0.00038678779
0.3754	0.00053940465
0.3766	0.0010986907
0.3778	0.0027947851
0.379	0.0016747609
0.3802	0.0013735088000000001
0.3814	0.0011942278999999998
0.3826	0.00067035038
0.3838	0.0007272083099999999
0.385	0.0010834961
0.3862	0.00074800159
0.3874	0.0014704732999999998
0.3886	0.00095138543
0.3898	0.0009019608900000001
0.391	0.0014722986
0.3922	0.0014888142
0.3934	0.0008867969699999998
0.3946	0.0010236642
0.3958	0.0013967775
0.397	0.0012288857000000001
0.3982	0.0036975847999999997
0.3994	0.0040489435999999995
0.4006	0.0046116421000000005
0.4018	0.005045982
0.403	0.0027300545
0.4042	0.0039360207
0.4054	0.0042978076
0.4066	0.0033296738
0.4078	0.0031380132
0.409	0.0064212679
0.4102	0.0031526189
0.4114	0.005760608299999999
0.4126	0.006315004599999999
0.4138	0.0040905811
0.415	0.0048532271
0.4162	0.0052186288
0.4174	0.0042662252
0.4186	0.0048423137
0.4198	0.0058386478
0.421	0.0044679624
0.4222	0.0024405857
0.4234	0.0021039067000000002
0.4246	0.0043550214
0.4258	0.0035654166
0.427	0.0033836574
0.4282	0.0038927584
0.4294	0.0043617696999999995
0.4306	0.0037062608
0.4318	0.0048828025
0.433	0.0036227140999999996
0.4342	0.0072700764000000005
0.4354	0.0069953887
0.4366	0.01135175
0.4378	0.0066364376000000004
0.439	0.0081412523
0.4402	0.008908815300000001
0.4414	0.0090768297
0.4426	0.01008097
0.4438	0.010380969
0.445	0.011681703
0.4462	0.0062224127
0.4474	0.009792687
0.4486	0.014632097
0.4498	0.010773281000000001
0.451	0.013308718999999998
0.4522	0.010047951999999999
0.4534	0.006103365699999999
0.4546	0.0083554528
0.4558	0.015539678000000001
0.457	0.017188211000000002
0.4582	0.012912027
0.4594	0.013436633
0.4606	0.013880072
0.4618	0.018041832
0.463	0.019132872
0.4642	0.016352798999999998
0.4654	0.012986998999999999
0.4666	0.018798396999999998
0.4678	0.018654983
0.469	0.020045323
0.4702	0.015585228999999999
0.4714	0.017126643
0.4726	0.014091803
0.4738	0.013523921999999999
0.475	0.018627135
0.4762	0.013517743
0.4774	0.014282174
0.4786	0.01499381
0.4798	0.016121168
0.481	0.019994194
0.4822	0.01928246
0.4834	0.015361749
0.4846	0.019598518
0.4858	0.020888007
0.487	0.019932033999999998
0.4882	0.022380577999999998
0.4894	0.018288265
0.4906	0.021124668
0.4918	0.017769224
0.493	0.021851757000000003
0.4942	0.021582201000000002
0.4954	0.018405831
0.4966	0.011598826000000001
0.4978	0.013017135
0.499	0.01850423
0.5002	0.016917915
0.5014	0.016052712
0.5026	0.015117125
0.5038	0.013104988
0.505	0.017202983999999998
0.5062	0.015941349
0.5074	0.015474876
0.5086	0.014105788999999999
0.5098	0.011436627
0.511	0.012370482
0.5122	0.019020802
0.5134	0.018093222
0.5146	0.013724169
0.5158	0.012829761
0.517	0.010537858999999998
0.5182	0.011737747
0.5194	0.014416749
0.5206	0.0095845195
0.5218	0.025298228
0.523	0.019853821
0.5242	0.019011376
0.5254	0.029131517000000003
0.5266	0.017978254
0.5278	0.029338654
0.529	0.030061103999999998
0.5302	0.027160757999999997
0.5314	0.033133761
0.5326	0.024836197
0.5338	0.030742921
0.535	0.03309923
0.5362	0.038740694
0.5374	0.031711436
0.5386	0.035054467
0.5398	0.027455975
0.541	0.030377417
0.5422	0.034140735
0.5434	0.02154758
0.5446	0.032241215
0.5458	0.023424199
0.547	0.02794155
0.5482	0.031923801
0.5494	0.037312312
0.5506	0.033102956
0.5518	0.023403921
0.553	0.034315532999999995
0.5542	0.040109556
0.5554	0.041556
0.5566	0.039906299
0.5578	0.040107479
0.559	0.023394357
