         382           4           3
Mon Jul 11 15:41:34 2005
classA_62.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      6.30699     0.396733     0.811013      0.00000
      6.30897     0.370742     0.660977      0.00000
      6.31094     0.351477     0.664571      0.00000
      6.31291     0.365652     0.942611      0.00000
      6.31488     0.380525     0.674511      0.00000
      6.31686     0.381717     0.765675      0.00000
      6.31883     0.351446     0.520872      0.00000
      6.32081     0.349947     0.562253      0.00000
      6.32278     0.333471     0.830411      0.00000
      6.32476     0.331115      1.04120      0.00000
      6.32674     0.314546      1.39589      0.00000
      6.32871     0.327448     0.704016      0.00000
      6.33069     0.339390     0.830838      0.00000
      6.33267     0.345188     0.898058      0.00000
      6.33465     0.375468      1.23478      0.00000
      6.33663     0.366550      1.51621      0.00000
      6.33861     0.363961     0.950038      0.00000
      6.34059     0.321139      1.11576      0.00000
      6.34257     0.295113      1.05248      0.00000
      6.34455     0.291062     0.885424      0.00000
      6.34654     0.312332      1.04720      0.00000
      6.34852     0.332580     0.771567      0.00000
      6.35050     0.315556     0.787518      0.00000
      6.35249     0.295895     0.779702      0.00000
      6.35448     0.267130     0.911322      0.00000
      6.35646     0.247293     0.949959      0.00000
      6.35845     0.240134     0.827285      0.00000
      6.36044     0.230387      1.03396      0.00000
      6.36242     0.225296     0.970232      0.00000
      6.36441     0.209234     0.768893      0.00000
      6.36640     0.224343     0.764504      0.00000
      6.36839     0.248785     0.540774      0.00000
      6.37038     0.251338     0.647621      0.00000
      6.37237     0.237722     0.954895      0.00000
      6.37436     0.216519     0.806893      0.00000
      6.37636     0.174141      1.20906      0.00000
      6.37835     0.171323     0.772555      0.00000
      6.38034     0.192237     0.803583      0.00000
      6.38234     0.231576     0.676085      0.00000
      6.38433     0.237207     0.643709      0.00000
      6.38633     0.197922     0.545687      0.00000
      6.38832     0.161139     0.582859      0.00000
      6.39032     0.130328     0.532738      0.00000
      6.39232     0.138066     0.546584      0.00000
      6.39431     0.161647     0.541913      0.00000
      6.39631     0.170318     0.602703      0.00000
      6.39831     0.156511     0.604050      0.00000
