         891           4           3
Mon Jul 11 16:08:31 2005
classA_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      7.86177     0.619220     0.391243      0.00000
      7.86423     0.610019     0.258152      0.00000
      7.86668     0.591148     0.271690      0.00000
      7.86914     0.581740     0.301928      0.00000
      7.87160     0.594054     0.330618      0.00000
      7.87406     0.604597     0.278361      0.00000
      7.87652     0.602502     0.304501      0.00000
      7.87898     0.575234     0.281527      0.00000
      7.88145     0.565092     0.431321      0.00000
      7.88391     0.564710     0.541234      0.00000
      7.88637     0.558517     0.420547      0.00000
      7.88884     0.536506     0.288560      0.00000
      7.89130     0.516431     0.257299      0.00000
      7.89377     0.512048     0.175053      0.00000
      7.89624     0.508849     0.202850      0.00000
      7.89871     0.503404     0.299423      0.00000
      7.90118     0.499330     0.264667      0.00000
      7.90365     0.497318     0.198320      0.00000
      7.90612     0.489416     0.195421      0.00000
      7.90859     0.472734     0.319925      0.00000
      7.91106     0.447858     0.469215      0.00000
      7.91353     0.433892     0.463076      0.00000
      7.91600     0.430318     0.353533      0.00000
      7.91848     0.424352     0.343301      0.00000
      7.92095     0.410328     0.321183      0.00000
      7.92343     0.405715     0.298223      0.00000
      7.92591     0.411284     0.440801      0.00000
      7.92838     0.415187     0.471301      0.00000
      7.93086     0.390881     0.419145      0.00000
      7.93334     0.369354     0.357611      0.00000
      7.93582     0.360509     0.301450      0.00000
      7.93830     0.358081     0.343193      0.00000
      7.94078     0.341275     0.398565      0.00000
      7.94326     0.315404     0.344725      0.00000
      7.94574     0.310724     0.404595      0.00000
      7.94823     0.322906     0.315910      0.00000
      7.95071     0.326667     0.236309      0.00000
      7.95320     0.308739     0.402658      0.00000
      7.95568     0.295874     0.345148      0.00000
      7.95817     0.286949     0.268985      0.00000
      7.96066     0.277768     0.467495      0.00000
      7.96315     0.259063     0.511581      0.00000
      7.96563     0.250982     0.308327      0.00000
      7.96812     0.255667     0.199597      0.00000
      7.97061     0.262976     0.249836      0.00000
      7.97311     0.267478     0.383525      0.00000
      7.97560     0.259893     0.390271      0.00000
      7.97809     0.252790     0.359746      0.00000
      7.98058     0.230892     0.342352      0.00000
      7.98308     0.217314     0.336495      0.00000
      7.98557     0.208022     0.315465      0.00000
      7.98807     0.214838     0.260459      0.00000
      7.99057     0.234693     0.274518      0.00000
      7.99306     0.237615     0.310154      0.00000
      7.99556     0.225351     0.497574      0.00000
      7.99806     0.204246     0.441809      0.00000
      8.00056     0.191756     0.325770      0.00000
      8.00306     0.191439     0.324977      0.00000
      8.00556     0.194267     0.314219      0.00000
      8.00806     0.194746     0.323205      0.00000
      8.01057     0.187065     0.372887      0.00000
      8.01307     0.172116     0.293447      0.00000
      8.01558     0.172685     0.309799      0.00000
      8.01808     0.195037     0.492075      0.00000
      8.02059     0.214241     0.447442      0.00000
      8.02309     0.218473     0.344091      0.00000
      8.02560     0.201157     0.306672      0.00000
      8.02811     0.173530     0.333321      0.00000
      8.03062     0.137403     0.388982      0.00000
      8.03313     0.114460     0.410029      0.00000
