         426           4           3
Mon Jul 11 15:35:17 2005
classB_11.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      11.1680     0.413945      2.79550      7.00000
      11.1710     0.422642      3.92862      7.00000
      11.1737     0.442139      3.71567      7.00000
      11.1763     0.474870      5.23705      7.00000
      11.1793     0.516607      4.10106      7.00000
      11.1820     0.558739      3.58134      7.00000
      11.1847     0.593053      3.55205      7.00000
      11.1877     0.617108      4.22585      7.00000
      11.1904     0.636646      2.85757      7.00000
      11.1933     0.660453      3.98496      7.00000
      11.1961     0.694941      5.13564      7.00000
      11.1988     0.740441      5.99588      7.00000
      11.2017     0.788038      5.70258      7.00000
      11.2044     0.826140      6.03298      7.00000
      11.2074     0.848359      5.01449      7.00000
      11.2101     0.856885      5.22955      7.00000
      11.2128     0.859642      5.43651      7.00000
      11.2155     0.868018      5.42729      7.00000
      11.2185     0.887477      5.65866      7.00000
      11.2211     0.916528      6.94921      7.00000
      11.2241     0.944922      5.05570      7.00000
      11.2268     0.961918      4.47668      7.00000
      11.2295     0.963561      4.36919      7.00000
      11.2325     0.953852      4.29458      7.00000
      11.2352     0.941995      2.99092      7.00000
      11.2382     0.938784      4.20870      7.00000
      11.2409     0.948925      4.09640      7.00000
      11.2436     0.967759      3.60696      7.00000
      11.2466     0.984824      4.49317      7.00000
      11.2492     0.991407      3.49163      7.00000
      11.2522     0.983969      3.15479      7.00000
      11.2549     0.966774      3.18414      7.00000
      11.2577     0.949502      3.74755      7.00000
      11.2606     0.941732      4.01799      7.00000
      11.2633     0.945250      5.01794      7.00000
      11.2663     0.954932      3.91618      7.00000
      11.2690     0.962236      3.62045      7.00000
      11.2717     0.960239      3.31710      7.00000
      11.2747     0.946640      4.50835      7.00000
      11.2776     0.926239      5.11764      7.00000
      11.2804     0.905558      4.48941      7.00000
      11.2831     0.892807      4.01734      7.00000
      11.2861     0.890935      3.68506      7.00000
      11.2887     0.894674      3.99868      7.00000
      11.2917     0.892201      3.29353      7.00000
      11.2944     0.879125      2.74186      7.00000
