         568           4           3
Mon Jul 11 16:09:02 2005
classC_77_86.fits
    lambda (um)    Flux (Jy)   Sigma (Jy)    AOT ident.
      8.00946     0.793524     0.267837      7.00000
      8.01347     0.808652     0.243858      7.00000
      8.01748     0.825628     0.177160      7.00000
      8.02149     0.829359     0.157845      7.00000
      8.02550     0.841721     0.133331      7.00000
      8.02951     0.863329     0.187502      7.00000
      8.03353     0.858248     0.274457      7.00000
      8.03754     0.850381     0.223371      7.00000
      8.04156     0.822356     0.249095      7.00000
      8.04559     0.821218     0.289847      7.00000
      8.04961     0.827332     0.281766      7.00000
      8.05364     0.838029     0.280167      7.00000
      8.05766     0.858710     0.237595      7.00000
      8.06169     0.883058     0.192115      7.00000
      8.06573     0.907045     0.168177      7.00000
      8.06976     0.917216     0.200355      7.00000
      8.07380     0.916891     0.260525      7.00000
      8.07783     0.912497     0.181515      7.00000
      8.08187     0.895949     0.153213      7.00000
      8.08591     0.881961     0.161646      7.00000
      8.08996     0.878436     0.192727      7.00000
      8.09400     0.872179     0.256688      7.00000
      8.09805     0.881820     0.215345      7.00000
      8.10210     0.890582     0.151317      7.00000
      8.10615     0.909892     0.180543      7.00000
      8.11021     0.917949     0.238601      7.00000
      8.11427     0.928560     0.273218      7.00000
      8.11832     0.942402     0.238223      7.00000
      8.12238     0.948247     0.293206      7.00000
      8.12645     0.965499     0.323988      7.00000
      8.13051     0.969818     0.304026      7.00000
      8.13458     0.983956     0.304531      7.00000
      8.13864     0.986828     0.290405      7.00000
      8.14271     0.997611     0.293224      7.00000
      8.14679     0.999197     0.235028      7.00000
      8.15086     0.979398     0.156261      7.00000
      8.15494     0.943241     0.153089      7.00000
      8.15902     0.913881     0.156313      7.00000
      8.16310     0.935678     0.185506      7.00000
      8.16718     0.967034     0.219676      7.00000
      8.17126     0.984732     0.232913      7.00000
      8.17535     0.957484     0.192744      7.00000
      8.17944     0.922810     0.276049      7.00000
      8.18353     0.926706     0.311845      7.00000
